VendorID,store_and_fwd_flag,RatecodeID,PULocationID,DOLocationID,passenger_count,trip_distance,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount,payment_type,trip_type,congestion_surcharge,cbd_congestion_fee,trip_duration,pickup_hour,pickup_day,pickup_dayofweek,is_weekend,is_rush_hour
2,N,1,75,239,1,2.2,18.4,1.0,0.5,5.91,0.0,1.0,29.56,1,1,2.75,0.0,1038.0,0,1,5,1,0
2,N,1,41,42,1,1.06,8.6,1.0,0.5,3.33,0.0,1.0,14.43,1,1,0.0,0.0,519.0,0,1,5,1,0
2,N,1,66,33,1,0.82,5.8,1.0,0.5,0.0,0.0,1.0,8.3,2,1,0.0,0.0,210.0,0,1,5,1,0
2,N,1,134,122,1,4.94,21.9,1.0,0.5,0.0,0.0,1.0,24.4,2,1,0.0,0.0,789.0,0,1,5,1,0
2,N,1,260,260,1,0.81,8.6,1.0,0.5,2.0,0.0,1.0,13.1,1,1,0.0,0.0,418.0,0,1,5,1,0
2,N,1,244,243,2,1.56,11.4,1.0,0.5,0.0,0.0,1.0,13.9,2,1,0.0,0.0,570.0,0,1,5,1,0
2,N,1,75,262,1,1.53,10.7,1.0,0.5,2.39,0.0,1.0,18.34,1,1,2.75,0.0,522.0,0,1,5,1,0
2,N,1,95,216,1,4.56,21.2,1.0,0.5,4.74,0.0,1.0,28.44,1,1,0.0,0.0,872.0,0,1,5,1,0
2,N,1,7,7,5,0.89,7.2,1.0,0.5,0.0,0.0,1.0,9.7,1,1,0.0,0.0,322.0,23,28,4,0,0
2,N,1,95,95,1,1.17,7.2,1.0,0.5,1.94,0.0,1.0,11.64,1,1,0.0,0.0,285.0,0,1,5,1,0
2,N,1,95,135,1,2.48,13.5,1.0,0.5,3.2,0.0,1.0,19.2,1,1,0.0,0.0,562.0,0,1,5,1,0
2,N,1,25,261,5,2.65,15.6,1.0,0.5,5.4,0.0,1.0,27.0,1,1,2.75,0.75,777.0,0,1,5,1,0
2,N,1,95,258,1,2.5,14.9,1.0,0.5,3.48,0.0,1.0,20.88,1,1,0.0,0.0,701.0,0,1,5,1,0
2,N,1,97,80,1,2.31,14.2,1.0,0.5,3.34,0.0,1.0,20.04,1,1,0.0,0.0,825.0,0,1,5,1,0
2,N,1,255,255,1,0.04,3.0,1.0,0.5,0.01,0.0,1.0,5.51,1,1,0.0,0.0,21.0,0,1,5,1,0
2,N,1,181,189,1,1.16,7.9,1.0,0.5,2.08,0.0,1.0,12.48,1,1,0.0,0.0,351.0,0,1,5,1,0
2,N,1,82,157,1,1.73,12.1,1.0,0.5,5.0,0.0,1.0,19.6,1,1,0.0,0.0,650.0,0,1,5,1,0
2,N,1,65,17,1,2.3,14.2,1.0,0.5,6.0,0.0,1.0,22.7,1,1,0.0,0.0,849.0,0,1,5,1,0
2,N,1,74,168,1,1.36,10.0,1.0,0.5,3.75,0.0,1.0,16.25,1,1,0.0,0.0,469.0,0,2,6,1,0
2,N,5,215,215,1,0.57,15.0,0.0,0.0,4.0,0.0,1.0,20.0,1,2,0.0,0.0,73.0,0,1,5,1,0
2,N,1,168,167,1,1.52,10.7,1.0,0.5,0.0,0.0,1.0,13.2,2,1,0.0,0.0,567.0,0,1,5,1,0
2,N,1,255,256,1,1.01,7.2,1.0,0.5,0.97,0.0,1.0,10.67,1,1,0.0,0.0,308.0,0,1,5,1,0
2,N,1,74,74,1,1.2,7.2,1.0,0.5,1.94,0.0,1.0,11.64,1,1,0.0,0.0,272.0,1,1,5,1,0
2,N,1,74,74,1,0.53,5.8,1.0,0.5,1.0,0.0,1.0,9.3,1,1,0.0,0.0,197.0,1,1,5,1,0
2,N,1,74,24,1,2.69,15.6,1.0,0.5,3.0,0.0,1.0,21.1,1,1,0.0,0.0,781.0,1,1,5,1,0
2,N,1,202,260,1,3.66,19.8,1.0,0.5,0.0,0.0,1.0,22.3,2,1,0.0,0.0,1002.0,1,1,5,1,0
1,N,1,255,226,1,3.3,19.8,1.0,1.5,3.0,0.0,1.0,25.3,1,1,0.0,0.0,1062.0,1,1,5,1,0
1,N,1,112,229,1,4.6,21.9,4.5,1.5,2.0,0.0,1.0,29.9,1,1,2.75,0.75,970.0,1,1,5,1,0
